time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2011-03-26T16:25:19.900Z,34.58,32.32,31,4.2,mb,74,68.1,,,us,usp000hynp,2014-11-07T01:44:20.290Z,"Cyprus region",earthquake
2011-03-16T11:18:01.550Z,37.304,30.483,7.7,4.4,mb,73,25.8,,,us,usp000hxg2,2014-11-07T01:44:10.726Z,"western Turkey",earthquake
2011-02-20T04:52:37.890Z,28.031,34.129,10,4.2,mb,28,77.3,,1.05,us,usp000husq,2014-11-07T01:43:41.479Z,"Egypt",earthquake
2011-02-20T01:27:04.730Z,27.819,34.019,10,4.5,mb,51,63.4,,0.84,us,usp000husm,2014-11-07T01:43:41.470Z,"Red Sea",earthquake
2011-02-14T03:54:27.750Z,34.65,32.969,10,3.9,ml,26,133.9,,,us,usp000hugj,2014-11-07T01:43:40.172Z,"Cyprus region",earthquake
2010-12-03T22:33:04.490Z,34.79,30.045,25.6,4.2,mb,13,97.5,,0.64,us,usp000hqfp,2014-11-07T01:43:03.754Z,"eastern Mediterranean Sea",earthquake
2010-11-16T10:50:32.000Z,37.312,36.415,5.3,4.5,mb,71,56.9,,,us,usp000hpr2,2014-11-07T01:42:55.793Z,"central Turkey",earthquake
2010-11-14T23:08:25.400Z,36.585,36.007,2.6,4.9,mwc,235,33.5,,,us,usp000hpnf,2015-02-11T17:19:31.000Z,"Turkey-Syria border region",earthquake
2010-10-29T13:46:45.000Z,37.179,30.693,88.2,4,mb,32,49.6,,,us,usp000hnrh,2014-11-07T01:42:46.848Z,"western Turkey",earthquake
2010-08-05T05:31:13.000Z,37.546,35.592,6.5,4.4,mb,25,108.6,,,us,usp000hhjx,2014-11-07T01:42:11.165Z,"central Turkey",earthquake
2010-07-27T16:07:43.940Z,34.987,32.885,35,4.5,ml,18,178.9,,0.73,us,usp000hgx2,2014-11-07T01:42:03.079Z,"Cyprus region",earthquake
2010-07-25T17:06:20.310Z,36.961,30.511,10,4,mb,84,40.3,,1.04,us,usp000hgt4,2014-11-07T01:42:01.539Z,"western Turkey",earthquake
2010-07-21T20:12:19.280Z,34.733,30.023,38,4.3,mb,60,52.3,,1.27,us,usp000hgcn,2014-11-07T01:41:58.383Z,"eastern Mediterranean Sea",earthquake
2010-05-26T14:22:19.800Z,36.67,29.95,10,4.4,mb,116,86.9,,1.17,us,usp000hd6w,2014-11-07T01:41:33.158Z,"western Turkey",earthquake
2010-05-10T18:02:04.370Z,34.384,30.785,38.3,4.3,mb,20,96.5,,0.8,us,usp000hckp,2014-11-07T01:41:28.596Z,"eastern Mediterranean Sea",earthquake
2010-04-02T01:05:24.000Z,35.914,31.051,47.6,4,mb,22,143.6,,,us,usp000ha7r,2014-11-07T01:41:09.664Z,"Cyprus region",earthquake
