Cat,Year,Mo.,Da.,Hr.,Min.,Sec.,Latitude,Longitude,depth,mag_magtype,provider,mag_magtype,provider,Mw_source
EUR,1932,9,26,19,20,42,39.8,23.8,25,7.20Ms,TRI,,,7.20TRI
EUR,1932,9,30,6,12,16,36,22.7,33,6.00UK,KRK,,,6.00KRK
EUR,1933,7,19,20,7,10,38.2,29.7,100,6.00UK,KRK,,,6.00KRK
EUR,1933,11,6,7,7,16,39.3,46.6,33,5.50UK,KRK,,,5.50KRK
EUR,1934,2,4,9,35,22,40.5,19.25,25,5.60Ms,TRI,,,5.60TRI
EUR,1934,11,9,13,40,56,36.7,25.7,140,6.30UK,KRK,,,6.30KRK
EUR,1934,11,27,,,,37.9,40.2,33,6.20UK,KRK,,,6.20KRK
EUR,1934,12,15,,,,38.9,40.5,33,5.80UK,KRK,,,5.80KRK
EUR,1935,2,25,2,51,31,36,25,33,7.30UK,KRK,,,7.30KRK
EUR,1935,3,18,8,40,41,35.5,27,130,6.50UK,KRK,,,6.50KRK
EUR,1935,4,9,19,59,41,42.2,48.8,150,6.30UK,KRK,,,6.30KRK
EUR,1935,5,1,10,24,37,40.4,43.4,33,6.20UK,KRK,,,6.20KRK
EUR,1936,3,24,19,46,22,39,42,33,6.00UK,KRK,,,6.00KRK
EUR,1936,4,28,23,15,26,36.7,26.7,170,6.00UK,KRK,,,6.00KRK
EUR,1936,5,1,10,24,44,39.6,43.1,33,5.60UK,KRK,,,5.60KRK
EUR,1936,8,8,4,12,43,34,26,60,5.90UK,KRK,,,5.90KRK
EUR,1937,12,16,17,35,28,35.7,23.2,33,6.50UK,KRK,,,6.50KRK
EUR,1938,5,12,22,9,37,34.8,26.2,33,5.80UK,KRK,,,5.80KRK
EUR,1938,6,3,16,38,3,34.5,26.5,120,5.90UK,KRK,,,5.90KRK
EUR,1938,7,20,0,23,35,38.3,23.8,33,6.10UK,KRK,,,6.10KRK
EUR,1939,12,28,3,25,20,40,37,33,5.70UK,KRK,,,5.70KRK
EUR,1940,4,13,6,29,2,38.8,35.2,33,5.60UK,KRK,,,5.60KRK
EUR,1940,5,7,22,23,43,42,43,33,6.50UK,KRK,,,6.50KRK
EUR,1940,7,24,22,15,27,34.5,34,80,5.70UK,KRK,,,5.70KRK
EUR,1940,12,20,5,18,,38.3,38.2,33,5.80UK,KRK,,,5.80KRK
EUR,1941,1,20,3,37,7,35,34,100,6.60UK,KRK,,,6.60KRK
EUR,1941,12,13,6,15,59,37.2,28.3,100,6.50UK,KRK,,,6.50KRK
EUR,1942,5,21,3,42,41,37.5,20.5,150,6.10UK,KRK,,,6.10KRK
EUR,1942,6,16,9,13,,35.7,23.2,150,6.00UK,KRK,,,6.00KRK
EUR,1942,6,21,4,38,43,36.5,27,130,6.40UK,KRK,,,6.40KRK
EUR,1942,8,27,6,14,11,41.7,20.4,33,6.00UK,KRK,,,6.00KRK
EUR,1943,1,7,22,36,,37.3,20.6,100,6.10UK,KRK,,,6.10KRK
EUR,1943,6,27,10,5,37,35,26,100,6.10UK,KRK,,,6.10KRK
EUR,1943,7,27,,,,35,26,70,5.50UK,KRK,,,5.50KRK
EUR,1943,10,16,13,8,46,36.4,27.9,110,6.60UK,KRK,,,6.60KRK
EUR,1943,12,7,1,19,,41,35.6,33,5.60UK,KRK,,,5.60KRK
EUR,1944,4,15,4,40,,40.5,31.2,,5.60UK,KRK,,,5.60KRK
EUR,1944,6,28,2,57,21,36,45,33,5.50UK,KRK,,,5.50KRK
EUR,1944,8,9,17,36,37,36.5,27.5,100,5.90UK,KRK,,,5.90KRK
